ObjectID,Session_Name,Timestamp,Latitude,Longitude,Temperatura,PM1,PM10,PM2.5,Humedad
66,panamericana_moto_juliana,2019-11-26T08:02:05.074,3.3579764,-76.51827,,,,19,
67,panamericana_moto_juliana,2019-11-26T08:02:06.092,3.3580596,-76.5182648,,,,19,
68,panamericana_moto_juliana,2019-11-26T08:02:07.110,3.3580596,-76.5182648,,,,19,
69,panamericana_moto_juliana,2019-11-26T08:02:08.091,3.3582107,-76.5182445,,,,19,
70,panamericana_moto_juliana,2019-11-26T08:02:09.067,3.3582913,-76.5182429,,,,19,
71,panamericana_moto_juliana,2019-11-26T08:02:10.081,3.3582913,-76.5182429,,,,19,
72,panamericana_moto_juliana,2019-11-26T08:02:11.088,3.3584344,-76.5182363,,,,19,
73,panamericana_moto_juliana,2019-11-26T08:02:12.070,3.3584344,-76.5182363,,,,19,
74,panamericana_moto_juliana,2019-11-26T08:02:13.096,3.3585353,-76.5182349,,,,20,
75,panamericana_moto_juliana,2019-11-26T08:02:14.090,3.358572,-76.5182348,,,,21,
76,panamericana_moto_juliana,2019-11-26T08:02:15.103,3.3585995,-76.5182337,,,,22,
77,panamericana_moto_juliana,2019-11-26T08:02:16.071,3.3585995,-76.5182337,,,,22,
78,panamericana_moto_juliana,2019-11-26T08:02:17.127,3.3586312,-76.5182346,,,33.0,23,
79,panamericana_moto_juliana,2019-11-26T08:02:18.079,3.3586312,-76.5182346,,,,23,
80,panamericana_moto_juliana,2019-11-26T08:02:19.060,3.3586439,-76.5182379,,,,21,
81,panamericana_moto_juliana,2019-11-26T08:02:20.131,3.3586439,-76.5182379,,,,22,
82,panamericana_moto_juliana,2019-11-26T08:02:21.072,3.3586418,-76.5182376,,,,22,
83,panamericana_moto_juliana,2019-11-26T08:02:22.085,3.3586418,-76.5182376,,,,23,
84,panamericana_moto_juliana,2019-11-26T08:02:23.098,3.3586357,-76.5182359,,,,23,
85,panamericana_moto_juliana,2019-11-26T08:02:24.081,3.3586554,-76.5181957,,,,23,
86,panamericana_moto_juliana,2019-11-26T08:02:25.072,3.3586681,-76.5181596,,,,21,
87,panamericana_moto_juliana,2019-11-26T08:02:26.085,3.3586793,-76.5181279,,,,21,
88,panamericana_moto_juliana,2019-11-26T08:02:27.097,3.3587046,-76.5181288,,,,21,
89,panamericana_moto_juliana,2019-11-26T08:02:28.070,3.3587046,-76.5181288,,,,20,
90,panamericana_moto_juliana,2019-11-26T08:02:29.112,3.3587066,-76.5181056,,,,20,
91,panamericana_moto_juliana,2019-11-26T08:02:30.100,3.358697,-76.5180933,,,,21,
92,panamericana_moto_juliana,2019-11-26T08:02:31.081,3.3586786,-76.5180859,,,,21,
93,panamericana_moto_juliana,2019-11-26T08:02:32.085,3.3586786,-76.5180859,,,,21,
94,panamericana_moto_juliana,2019-11-26T08:02:33.081,3.3586761,-76.5180845,,,,21,
95,panamericana_moto_juliana,2019-11-26T08:02:34.094,3.3586761,-76.5180845,,,,21,
96,panamericana_moto_juliana,2019-11-26T08:02:35.095,3.3586726,-76.5180828,,,,21,
97,panamericana_moto_juliana,2019-11-26T08:02:36.083,3.3586717,-76.5180825,,,,21,
98,panamericana_moto_juliana,2019-11-26T08:02:37.074,3.3586708,-76.5180823,,,,20,
99,panamericana_moto_juliana,2019-11-26T08:02:38.075,3.3586704,-76.5180822,,,,20,
100,panamericana_moto_juliana,2019-11-26T08:02:39.048,3.3586704,-76.5180822,,,,20,
101,panamericana_moto_juliana,2019-11-26T08:02:40.107,3.3586698,-76.5180809,,,,20,
102,panamericana_moto_juliana,2019-11-26T08:02:41.068,3.3586693,-76.5180802,,,,20,
103,panamericana_moto_juliana,2019-11-26T08:02:42.094,3.3586693,-76.5180802,,,,20,
104,panamericana_moto_juliana,2019-11-26T08:02:43.095,3.3586686,-76.5180796,,,28.0,21,
105,panamericana_moto_juliana,2019-11-26T08:02:44.095,3.3586686,-76.5180796,,,,20,
106,panamericana_moto_juliana,2019-11-26T08:02:45.117,3.3586677,-76.5180796,,14.0,,20,
107,panamericana_moto_juliana,2019-11-26T08:02:46.067,3.3586675,-76.5180794,,,,20,
108,panamericana_moto_juliana,2019-11-26T08:02:47.058,3.3586588,-76.5180747,,,,20,
109,panamericana_moto_juliana,2019-11-26T08:02:48.094,3.3586588,-76.5180747,,,25.0,19,
110,panamericana_moto_juliana,2019-11-26T08:02:49.101,3.3586626,-76.5180521,,,,20,
111,panamericana_moto_juliana,2019-11-26T08:02:50.096,3.3586626,-76.5180521,,,,19,
112,panamericana_moto_juliana,2019-11-26T08:02:51.058,3.358685,-76.5180365,,,,19,
113,panamericana_moto_juliana,2019-11-26T08:02:52.077,3.358685,-76.5180365,,,,19,
114,panamericana_moto_juliana,2019-11-26T08:02:53.077,3.3586994,-76.5180509,,,,19,
115,panamericana_moto_juliana,2019-11-26T08:02:54.112,3.3586994,-76.5180509,,,,19,
116,panamericana_moto_juliana,2019-11-26T08:02:55.064,3.3586813,-76.518072,,,,20,
117,panamericana_moto_juliana,2019-11-26T08:02:56.100,3.3586813,-76.518072,,,,20,
118,panamericana_moto_juliana,2019-11-26T08:02:57.097,3.3587292,-76.5181932,,,,19,
119,panamericana_moto_juliana,2019-11-26T08:02:58.086,3.3587423,-76.5182582,,,,19,
120,panamericana_moto_juliana,2019-11-26T08:02:59.060,3.3587423,-76.5182582,,,,19,
121,panamericana_moto_juliana,2019-11-26T08:03:00.082,3.3587438,-76.5183766,,,,22,
122,panamericana_moto_juliana,2019-11-26T08:03:01.085,3.3587487,-76.5184432,,,,24,
123,panamericana_moto_juliana,2019-11-26T08:03:02.098,3.3587487,-76.5184432,,,40.0,25,
124,panamericana_moto_juliana,2019-11-26T08:03:03.092,3.3587737,-76.5186122,,,,27,
125,panamericana_moto_juliana,2019-11-26T08:03:04.122,3.3587841,-76.5187078,,,49.0,29,
126,panamericana_moto_juliana,2019-11-26T08:03:05.055,3.3587841,-76.5187078,,,,29,
127,panamericana_moto_juliana,2019-11-26T08:03:06.094,3.3588018,-76.5189003,,,,31,
128,panamericana_moto_juliana,2019-11-26T08:03:07.050,3.3588087,-76.5190047,,,,31,
129,panamericana_moto_juliana,2019-11-26T08:03:08.104,3.3588184,-76.5191127,,,,31,
130,panamericana_moto_juliana,2019-11-26T08:03:09.064,3.3588275,-76.5192253,,,,29,
131,panamericana_moto_juliana,2019-11-26T08:03:10.068,3.3588275,-76.5192253,,,,29,
132,panamericana_moto_juliana,2019-11-26T08:03:11.119,3.3588354,-76.5194554,,,,27,
133,panamericana_moto_juliana,2019-11-26T08:03:12.099,3.3588391,-76.5195733,,,,28,
134,panamericana_moto_juliana,2019-11-26T08:03:13.097,3.3588391,-76.5195733,,,,27,
135,panamericana_moto_juliana,2019-11-26T08:03:14.069,3.3588522,-76.5198113,,,,27,
136,panamericana_moto_juliana,2019-11-26T08:03:15.117,3.3588561,-76.5199243,,,,25,
137,panamericana_moto_juliana,2019-11-26T08:03:16.084,3.3588561,-76.5199243,,,,23,
138,panamericana_moto_juliana,2019-11-26T08:03:17.098,3.3588761,-76.5201442,,,,23,
139,panamericana_moto_juliana,2019-11-26T08:03:18.071,3.3588883,-76.5202568,,,,21,
140,panamericana_moto_juliana,2019-11-26T08:03:19.087,3.3588883,-76.5202568,,,,21,
141,panamericana_moto_juliana,2019-11-26T08:03:20.107,3.3589077,-76.5204788,,,34.0,22,
142,panamericana_moto_juliana,2019-11-26T08:03:21.130,3.3589077,-76.5204788,,,,23,
143,panamericana_moto_juliana,2019-11-26T08:03:22.100,3.3589289,-76.5206947,,,,23,
144,panamericana_moto_juliana,2019-11-26T08:03:23.108,3.3589412,-76.5208063,,,,25,
145,panamericana_moto_juliana,2019-11-26T08:03:24.096,3.3589516,-76.5209194,,,,24,
146,panamericana_moto_juliana,2019-11-26T08:03:25.084,3.3589516,-76.5209194,,,,26,
147,panamericana_moto_juliana,2019-11-26T08:03:26.105,3.3589732,-76.5211373,,,,27,
148,panamericana_moto_juliana,2019-11-26T08:03:27.075,3.3589732,-76.5211373,,,,27,
149,panamericana_moto_juliana,2019-11-26T08:03:28.083,3.3589899,-76.5213583,,,,28,
150,panamericana_moto_juliana,2019-11-26T08:03:29.074,3.3589961,-76.5214658,,,,28,
151,panamericana_moto_juliana,2019-11-26T08:03:30.087,3.3589966,-76.521569,,,,27,
152,panamericana_moto_juliana,2019-11-26T08:03:31.101,3.3589966,-76.521569,,,,26,
153,panamericana_moto_juliana,2019-11-26T08:03:32.081,3.3590112,-76.5217796,,,,26,
154,panamericana_moto_juliana,2019-11-26T08:03:33.091,3.3590186,-76.5218886,,,,25,
155,panamericana_moto_juliana,2019-11-26T08:03:34.085,3.3590186,-76.5218886,,,,25,
156,panamericana_moto_juliana,2019-11-26T08:03:35.058,3.3590345,-76.5221068,,,,25,
157,panamericana_moto_juliana,2019-11-26T08:03:36.091,3.3590502,-76.5222197,,,,25,
158,panamericana_moto_juliana,2019-11-26T08:03:37.111,3.3590502,-76.5222197,,,,25,
159,panamericana_moto_juliana,2019-11-26T08:03:38.094,3.3590696,-76.5224462,,,,25,
160,panamericana_moto_juliana,2019-11-26T08:03:39.108,3.3590761,-76.5225612,,,,25,
161,panamericana_moto_juliana,2019-11-26T08:03:40.088,3.3590761,-76.5225612,,,39.0,25,
162,panamericana_moto_juliana,2019-11-26T08:03:41.092,3.3590908,-76.5227893,,,,25,
163,panamericana_moto_juliana,2019-11-26T08:03:42.077,3.3590974,-76.5229061,,,,25,
164,panamericana_moto_juliana,2019-11-26T08:03:43.086,3.3590974,-76.5229061,,,,25,
165,panamericana_moto_juliana,2019-11-26T08:03:44.067,3.3591112,-76.5231283,,21.0,,27,
166,panamericana_moto_juliana,2019-11-26T08:03:45.088,3.3591188,-76.5232406,,,,27,
167,panamericana_moto_juliana,2019-11-26T08:03:46.060,3.3591268,-76.5233486,,,,28,
168,panamericana_moto_juliana,2019-11-26T08:03:47.088,3.3591268,-76.5233486,,,,27,
169,panamericana_moto_juliana,2019-11-26T08:03:48.104,3.3591371,-76.523535,,,,27,
170,panamericana_moto_juliana,2019-11-26T08:03:49.089,3.3591371,-76.523535,,,,27,
